Estado,Anio,No.Beneficiarios,Superficie.ha,Monto.pesos
AG,2010,1,602.57,226118.79
AG,2011,1,602.57,226118.79
AG,2012,1,602.57,226118.79
AG,2011,5,757.70,311516.17
AG,2012,5,757.70,311516.17
AG,2012,2,378.66,145366.01
BC,2008,33,8424.43,4087466.20
BC,2009,32,8224.43,3987019.30
BC,2010,31,8048.81,3896188.48
BC,2011,30,7848.81,3795741.58
BC,2012,30,7848.81,3795741.58
BC,2009,32,10734.64,5241064.53
BC,2010,32,10734.64,5241064.53
BC,2011,32,10734.64,5241064.53
BC,2012,32,10734.64,5241064.53
BC,2010,44,16118.85,5403327.24
BC,2011,44,16118.85,5403327.24
BC,2012,32,10669.77,3624560.19
BC,2011,48,17806.28,6041997.23
BC,2012,39,10455.30,3711395.83
BC,2012,34,11915.32,4006508.84
BCS,2008,12,0.00,2095379.79
BCS,2009,12,4521.83,2095379.79
BCS,2010,12,4521.83,2095379.79
BCS,2011,12,4521.83,2095379.79
BCS,2012,10,2321.83,1149285.69
BCS,2009,14,8125.96,3783098.89
BCS,2010,14,8125.96,3783098.89
BCS,2011,14,8125.96,3783098.89
BCS,2012,14,8125.96,3783098.89
BCS,2010,9,14238.52,4361730.04
BCS,2011,9,14238.52,4361730.04
BCS,2012,3,4741.31,1466011.24
BCS,2011,21,11695.35,3789425.49
BCS,2012,21,11695.35,3789425.49
BCS,2012,17,10514.53,3351068.40
CAM,2008,29,9869.14,4396769.88
CAM,2009,29,9869.14,4396769.88
CAM,2010,29,9869.14,4396769.88
CAM,2011,29,9869.14,4396769.88
CAM,2012,27,9649.95,4272135.52
CAM,2009,33,25920.46,11865076.42
CAM,2010,33,25920.46,11865076.43
CAM,2011,33,25920.46,11865076.43
CAM,2012,33,25920.46,11865076.43
CAM,2010,6,3875.47,1597397.59
CAM,2011,6,3875.47,1597397.59
CAM,2012,5,3708.90,1517266.70
CAM,2011,12,10719.54,5539229.93
CAM,2012,8,10011.27,5116374.08
CAM,2012,21,17862.46,9603011.62
COA,2008,2,2233.11,959152.72
COA,2009,2,2233.11,959152.72
COA,2010,2,2233.11,959152.72
COA,2011,2,2233.11,959152.72
COA,2012,2,2233.11,959152.72
COA,2009,7,6075.34,2764386.88
COA,2010,7,6075.34,2764386.88
COA,2011,7,6075.34,2764386.88
COA,2012,7,6075.34,2764386.88
COA,2010,16,13273.54,4262501.25
COA,2011,16,13273.54,4262501.25
COA,2012,16,13273.54,4262501.25
COA,2011,18,16674.14,5243551.44
COA,2012,18,16604.14,5222773.34
COA,2012,11,12617.58,3979233.35
COL,2008,4,274.05,184452.45
COL,2009,4,274.05,184452.45
COL,2010,4,274.05,184452.45
COL,2011,4,274.05,184452.45
COL,2012,4,274.05,184452.45
COL,2009,5,764.81,426675.48
COL,2010,4,566.01,322501.91
COL,2011,4,566.01,322501.91
COL,2012,4,566.01,322501.91
COL,2011,1,100.00,54700.00
COL,2012,1,100.00,54700.00
COL,2012,1,108.68,56131.25
CHP,2008,71,36596.50,16580351.75
CHP,2009,70,36569.50,16553083.83
CHP,2010,70,36318.76,16367173.17
CHP,2011,68,34843.60,15729264.95
CHP,2012,68,34810.82,15635836.60
CHP,2009,37,21591.66,9950045.50
CHP,2010,34,20689.32,9490439.19
CHP,2011,34,20683.99,9497684.17
CHP,2012,34,20683.99,9497684.17
CHP,2010,3,951.05,412801.10
CHP,2011,3,951.05,412801.10
CHP,2012,3,951.05,412801.10
CHP,2011,7,7110.99,4157094.81
CHP,2012,7,7110.99,4157094.81
CHP,2012,10,6974.33,4053145.16
CHH,2008,4,679.22,354148.70
CHH,2009,4,679.22,354148.70
CHH,2010,4,679.22,354148.70
CHH,2011,4,679.22,354148.70
CHH,2012,4,679.22,354148.70
CHH,2009,3,5075.28,2263493.32
CHH,2010,3,5075.28,2263493.32
CHH,2011,3,5075.28,2263493.32
CHH,2012,3,5075.28,2263493.32
CHH,2010,1,1995.77,602815.46
CHH,2011,1,1995.77,602815.46
CHH,2012,1,1995.77,602815.46
CHH,2011,2,3930.70,1260441.12
CHH,2012,2,3930.70,1260441.12
CHH,2012,1,1966.97,681022.90
DG,2008,1,1202.83,531223.04
DG,2009,1,1202.83,531223.04
DG,2010,1,1202.83,531223.04
DG,2011,1,1202.83,531223.04
DG,2012,1,1202.83,531223.04
DG,2009,16,14483.40,6606440.99
DG,2010,16,14483.40,6606440.99
DG,2011,16,14483.40,6606440.99
DG,2012,16,14483.40,6606440.99
DG,2010,4,5934.24,1853297.31
DG,2011,4,5934.24,1853297.31
DG,2012,4,5934.24,1853297.31
DG,2011,5,5200.49,1647156.71
DG,2012,5,5200.49,1647156.71
DG,2012,3,2448.67,830912.98
GUA,2008,2,299.42,161222.53
GUA,2009,2,299.42,161222.53
GUA,2010,2,299.42,161222.53
GUA,2011,2,299.42,161222.53
GUA,2012,2,299.42,161222.53
GUA,2009,7,6464.74,2924430.90
GUA,2010,7,6464.74,2924430.90
GUA,2011,7,6464.74,2924430.90
GUA,2012,7,6464.74,2924430.90
GUA,2010,2,285.96,118134.81
GUA,2011,2,285.96,118134.81
GUA,2012,2,285.96,118134.81
GUA,2012,1,178.10,66368.00
GRO,2008,1,648.24,295123.91
GRO,2009,1,648.24,295123.91
GRO,2010,1,648.24,295123.91
GRO,2011,1,648.24,295123.91
GRO,2012,1,648.24,295123.91
GRO,2009,4,5287.69,2373256.89
GRO,2010,4,5287.69,2373256.89
GRO,2011,4,5287.69,2373256.89
GRO,2012,3,3402.04,1539072.59
GRO,2010,3,1614.42,641896.13
GRO,2011,3,1614.42,641896.13
GRO,2012,2,1269.05,509210.75
GRO,2011,1,2848.33,1555397.95
GRO,2012,1,2848.33,1555397.95
GRO,2012,1,1353.00,785227.52
HG,2008,3,596.77,295123.91
HG,2009,3,596.77,295123.91
HG,2010,2,567.05,266783.16
HG,2011,2,567.05,266783.16
HG,2012,2,567.05,266783.16
HG,2009,2,2512.10,1132758.75
HG,2010,2,2512.10,1132758.75
HG,2011,2,2512.10,1132758.75
HG,2012,2,2512.10,1132758.75
HG,2010,3,2829.29,972598.81
HG,2011,3,2829.29,972598.81
HG,2012,2,1653.41,561810.80
HG,2011,7,2768.06,933971.59
HG,2012,7,2743.22,921740.99
HG,2012,5,2319.12,965469.82
JAL,2008,6,1741.44,823866.15
JAL,2009,6,1741.44,823866.15
JAL,2010,6,1741.44,823866.15
JAL,2011,6,1741.44,823866.15
JAL,2012,6,1741.44,823866.15
JAL,2009,12,8711.09,4015922.30
JAL,2010,11,7708.37,3561994.70
JAL,2011,11,7708.37,3561994.70
JAL,2012,11,7708.37,3561994.70
JAL,2010,2,2341.75,883018.97
JAL,2011,2,2341.75,883018.97
JAL,2012,2,2341.75,883018.97
JAL,2011,1,306.01,102182.80
JAL,2012,1,306.01,102182.80
JAL,2012,6,3445.10,1236076.34
MEX,2008,1,55.00,43255.28
MEX,2009,1,55.00,43255.28
MEX,2010,1,55.00,43255.28
MEX,2011,1,55.00,43255.28
MEX,2012,1,55.00,43255.28
MEX,2009,2,328.07,179771.33
MEX,2010,2,328.07,179771.33
MEX,2011,2,328.07,179771.33
MEX,2012,2,328.07,179771.33
MIC,2008,3,2074.78,908379.19
MIC,2009,3,2074.78,908379.19
MIC,2010,3,2074.78,908379.19
MIC,2011,3,2074.78,908379.19
MIC,2012,3,2074.78,908379.19
MIC,2009,4,4329.87,1943429.40
MIC,2010,4,4329.87,1943429.40
MIC,2011,4,4329.87,1943429.40
MIC,2012,4,4329.87,1943429.40
MIC,2010,7,3692.88,1318525.62
MIC,2011,6,2728.02,1005425.41
MIC,2012,3,773.67,295664.68
MIC,2011,5,3151.18,1234778.86
MIC,2012,4,3051.18,1171698.06
MIC,2012,11,4896.09,1731085.15
MOR,2008,1,469.10,206586.74
MOR,2009,1,469.10,206586.74
MOR,2009,2,1466.65,684992.33
MOR,2010,2,1466.65,684992.33
MOR,2011,2,1466.65,684992.33
MOR,2012,2,1466.65,684992.33
MOR,2011,1,596.27,199955.60
MOR,2012,1,596.27,199955.60
MOR,2012,3,2599.22,935503.18
NAY,2008,4,1337.50,621414.90
NAY,2009,4,1337.50,621414.90
NAY,2010,3,1187.50,540689.25
NAY,2011,3,1187.50,540689.25
NAY,2012,3,1187.50,540689.25
NAY,2009,8,2770.90,1355850.36
NAY,2010,8,2770.90,1355850.36
NAY,2011,8,2770.90,1355850.36
NAY,2012,8,2770.90,1355850.36
NAY,2010,4,3039.61,1095421.58
NAY,2011,4,3039.61,1095421.58
NAY,2012,4,3039.61,1095421.58
NAY,2011,2,2201.85,901606.70
NAY,2012,2,2201.85,901606.70
NAY,2012,3,6667.60,3305383.76
NL,2008,3,515.78,258233.43
NL,2009,3,515.78,258233.43
NL,2010,3,515.78,258233.43
NL,2011,3,515.78,258233.43
NL,2012,3,515.78,258233.43
NL,2009,6,2247.60,1058571.60
NL,2010,6,2247.60,1058571.60
NL,2011,6,2247.60,1058571.60
NL,2012,6,2247.60,1058571.60
NL,2010,2,3002.51,990459.25
NL,2011,2,3002.51,990459.25
NL,2012,2,3002.51,990459.25
NL,2011,5,3658.46,1186828.10
NL,2012,5,3658.46,1186828.10
NL,2012,4,4799.79,1581608.44
OAX,2008,17,18937.76,8131319.19
OAX,2009,17,18937.76,8131319.19
OAX,2010,17,18937.76,8131319.19
OAX,2011,17,18937.76,8131319.19
OAX,2012,17,18937.76,8131319.19
OAX,2009,10,9877.68,4509042.78
OAX,2010,10,9877.68,4509042.78
OAX,2011,10,9877.68,4509042.78
OAX,2012,10,9877.68,4509042.78
OAX,2010,5,7661.47,2371548.06
OAX,2011,5,7661.47,2371548.06
OAX,2012,5,7661.47,2371548.06
OAX,2011,6,5890.83,2929280.86
OAX,2012,6,5890.83,2929280.86
OAX,2012,4,4766.04,2311191.85
PUE,2008,4,3104.05,1336909.54
PUE,2009,4,3104.05,1336909.54
PUE,2010,4,3104.05,1336909.54
PUE,2011,3,2582.05,1119029.17
PUE,2012,3,2582.05,1119029.17
PUE,2009,4,4516.00,2019378.36
PUE,2010,4,4516.00,2019378.36
PUE,2011,3,2586.72,1167260.69
PUE,2012,3,2586.72,1167260.69
PUE,2010,10,13308.68,4152192.60
PUE,2011,10,13308.68,4152192.60
PUE,2012,9,13041.82,4033752.08
PUE,2011,8,11300.67,3570241.70
PUE,2012,6,8146.10,2598962.10
PUE,2012,13,14308.81,4577317.52
QUE,2008,28,3718.04,2040561.19
QUE,2009,27,3518.04,1940114.29
QUE,2010,26,3495.72,1914692.28
QUE,2011,26,3495.72,1914692.28
QUE,2012,26,3495.72,1914692.28
QUE,2009,3,775.23,386022.92
QUE,2010,3,775.23,386022.92
QUE,2011,1,185.54,98722.89
QUE,2012,1,185.54,98722.89
QUE,2010,3,2354.25,864970.16
QUE,2011,2,2200.24,802581.38
QUE,2012,1,1440.08,520371.55
QUE,2011,5,5216.66,1933796.12
QUE,2012,4,4672.07,1723314.24
QUE,2012,2,353.64,136813.20
ROO,2008,6,5130.11,2071992.86
ROO,2009,6,5130.11,2071992.86
ROO,2010,6,5130.11,2071992.86
ROO,2011,6,5130.11,2071992.86
ROO,2012,6,5130.11,2071992.86
ROO,2009,8,9598.95,4345749.47
ROO,2010,8,9598.95,4345749.47
ROO,2011,8,9414.71,4270028.06
ROO,2012,8,9414.71,4270028.06
ROO,2010,4,5461.44,2205396.50
ROO,2011,4,5461.44,2205396.50
ROO,2012,4,5461.44,2205396.50
ROO,2011,11,12961.96,6908463.94
ROO,2012,10,11463.78,6173853.90
ROO,2012,16,19631.40,10035260.89
SLP,2008,3,1884.32,779945.82
SLP,2009,3,1884.32,779945.82
SLP,2010,3,1884.32,779945.82
SLP,2011,3,1884.32,779945.82
SLP,2012,3,1884.32,779945.82
SLP,2009,3,2653.22,1157937.77
SLP,2010,3,2653.22,1157937.77
SLP,2011,3,2653.22,1157937.77
SLP,2012,3,2653.22,1157937.77
SLP,2010,2,3635.04,1187217.91
SLP,2011,2,3635.04,1187217.91
SLP,2012,2,3635.04,1187217.91
SLP,2011,6,4356.81,1646334.04
SLP,2012,2,1543.45,714173.88
SLP,2012,8,6075.50,2552181.66
SIN,2008,4,1606.37,745187.89
SIN,2009,4,1606.37,745187.89
SIN,2010,4,1606.37,745187.89
SIN,2011,4,1606.37,745187.89
SIN,2012,4,1606.37,745187.89
SIN,2009,7,2929.61,1398060.28
SIN,2010,7,2929.61,1398060.28
SIN,2011,7,2929.61,1398060.28
SIN,2012,6,2729.61,1293392.28
SIN,2010,10,3580.37,1299089.44
SIN,2011,10,3580.37,1299089.44
SIN,2012,2,2090.00,645700.00
SIN,2011,4,662.55,267561.33
SIN,2012,4,662.55,234561.33
SIN,2012,2,1786.18,749139.99
SON,2008,7,3044.72,1387082.39
SON,2009,7,3044.72,1387082.39
SON,2010,7,3044.72,1387082.39
SON,2011,7,3044.72,1387082.39
SON,2012,7,3044.72,1387082.39
SON,2009,5,3429.78,1595413.02
SON,2010,5,3429.78,1595413.02
SON,2011,5,3429.78,1595413.02
SON,2012,5,3429.78,1595413.02
SON,2010,22,13822.75,4813422.05
SON,2011,22,13822.75,4813422.05
SON,2012,22,13822.75,4813422.05
SON,2011,11,10696.43,3659380.44
SON,2012,11,10696.43,3615380.44
SON,2012,6,7436.84,2698269.94
TAB,2008,94,22662.72,11122619.83
TAB,2009,94,22662.72,11122619.83
TAB,2010,94,22662.72,11122619.83
TAB,2011,94,22662.72,11122619.83
TAB,2012,93,22642.72,11098112.89
